twitter,url,name,location,timezone,country,language,bundle,wait,no_adguard
aldotcom,https://www.al.com/,Alabama Media Group,Montgomery,America/Chicago,US,en,alabama,,
alliancereview,https://www.the-review.com/,The Alliance Review,Alliance,America/New_York,US,en,ohio|gannett,,
alma_preta,https://almapreta.com/,Alma Preta,São Paulo,America/Sao_Paulo,BR,pt,,,
alpublicradio,https://www.apr.org/,Alabama Public Radio,Tuscaloosa,America/Chicago,US,en,alabama,,
alreporter,https://www.alreporter.com/,Alabama Reporter,Montgomery,America/Chicago,US,en,alabama,,
alternet,https://www.alternet.org/,AlterNet,Washington,America/New_York,US,en,us-left-wing,,
amabhungane,https://amabhungane.org/,amaBhungane,South Africa,Africa/Johannesburg,ZA,en,,,
amarilloglobe,https://www.amarillo.com/,Amarillo Globe-News,Amarillo,America/Chicago,US,en,texas|gannett,,
amarujalanews,https://www.amarujala.com/,Amar Ujala,New Delhi,Asia/Kolkata,IN,hi,,,
amazoniaagencia,https://aamazonia.com.br/,Agência Amazônia,São Paulo,America/Sao_Paulo,BR,pt,,,
amerindependent,https://americanindependent.com/,American Independent,Washington,America/New_York,US,en,us-left-wing,,
amestribnews,https://www.amestrib.com/,Ames Tribune,Ames,America/Chicago,US,en,iowa|gannett,,
anchoragepress,https://www.anchoragepress.com/,Anchorage Press,Anchorage,America/Anchorage,US,en,alaska,,
andscape,https://andscape.com/,Andscape,Washington,America/New_York,US,en,sports,,
annapurna_post,https://www.annapurnapost.com/,Annapurna Post,Kathmandu,Asia/Kathmandu,NP,ne,,,
ap,https://apnews.com/,Associated Press,New York City,America/New_York,US,en,us-national,,
apmreports,https://www.apmreports.org/,APM Reports,St. Paul,America/Chicago,US,en,,,
appalachia100,https://www.100daysinappalachia.com/,100 Days in Appalachia,Morgantown,America/New_York,US,en,,,
argusleader,https://www.argusleader.com/,Sioux Falls Argus Leader,Sioux Falls,America/Chicago,US,en,south-dakota|gannett|minnesota|gannett|iowa|gannett,,
aristeguionline,https://aristeguinoticias.com/,Aristegui Noticias,Mexico City,America/Mexico_City,MX,es,,,
arizcir,https://azcir.org/,Arizona Center for Investigative Reporting,Phoenix,America/Los_Angeles,US,en,arizona,,
arkansasonline,https://www.arkansasonline.com/,Arkansas Democrat Gazette,Little Rock,America/Chicago,US,en,arkansas,,
arkbusiness,https://www.arkansasbusiness.com/,Arkansas Business,Little Rock,America/Chicago,US,en,arkansas,,
arknewsorg,https://arknews.org/,Arkansas Nonprofit News Network,Little Rock,America/Chicago,US,en,,,
arktimes,https://arktimes.com/,Arkansas Times,Little Rock,America/Chicago,US,en,arkansas,,
arstechnica,https://arstechnica.com/,Ars Technica,New York City,America/New_York,US,en,tech,,
arthasarokar,https://arthasarokar.com/,Artha Sarokar,Kathmandu,Asia/Kathmandu,NP,ne,,,
asahi,https://www.asahi.com/,Asahi Shimbun,Osaka,Asia/Tokyo,JP,ja,,,
asburyparkpress,https://www.app.com/,Asbury Park Press,Asbury Park,America/New_York,US,en,new-jersey|gannett,,
asheville,https://www.citizen-times.com/,Asheville Citizen-Times,Asheville,America/New_York,US,en,north-carolina|gannett,,
ashlandornews,https://ashland.news/,Ashland.news,Ashland,America/Los_Angeles,US,en,oregon,,
aspendailynews,https://www.aspendailynews.com/,Aspen Daily News,Aspen,America/Denver,US,en,,,
aspenjournalism,https://aspenjournalism.org/,Aspen Journalism,Aspen,America/Denver,US,en,colorado,,
aspenpubradio,https://www.aspenpublicradio.org/,Aspen Public Radio,Aspen,America/Denver,US,en,,,
atarde,https://atarde.com.br/,Jornal A Tarde,Bahia,America/Sao_Paulo,BR,pt,,,
atlblog,https://abovethelaw.com/,Above the Law,New York City,America/New_York,US,en,us-left-wing,,
atlciviccircle,https://atlantaciviccircle.org/,Atlanta Civic Circle,Atlanta,America/New_York,US,en,georgia,,
aug_chronicle,https://www.augustachronicle.com,Augusta Chronicle,Augusta,America/New_York,US,en,georgia,,
austinchronicle,https://www.austinchronicle.com/,Austin Chronicle,Austin,America/Chicago,US,en,texas,,
austinvida,https://www.austinvida.com/,Austin Vida,Austin,America/Chicago,US,en,texas,,
avherald,https://avherald.com/,Aviation Herald,Austria,Europe/Vienna,AT,en,aviation,,
aviationnews,https://www.aerotime.aero/,AeroTime Hub,America,America/New_York,US,en,aviation,,
aviationweek,https://aviationweek.com/,Aviation Week,New York City,America/New_York,US,en,aviation,,
avlwatchdog,https://avlwatchdog.org/,Asheville Watchdog,Asheville,America/New_York,US,en,north-carolina,,
axios,https://www.axios.com/,Axios,Washington,America/New_York,US,en,capitol-hill,,
azcentral,https://www.azcentral.com/,Arizona Republic,Phoenix,America/Phoenix,US,en,arizona|gannett,,
azds,https://azdailysun.com/,Arizona Daily Sun,Flagstaff,America/Phoenix,US,en,arizona,,
badger_project_,https://thebadgerproject.org/,Badger Project,Madison,America/Chicago,US,en,wisconsin,,
bakersfieldcali,https://www.bakersfield.com/,Bakersfield Californian,Bakersfield,America/Los_Angeles,US,en,,,
baltbeat,https://baltimorebeat.com/,Baltimore Beat,Baltimore,America/New_York,US,en,maryland,,
baltbizonline,https://www.bizjournals.com/baltimore/,Baltimore Business Journal,Baltimore,America/New_York,US,en,maryland,,
baltfishbowl,https://baltimorefishbowl.com/,Baltimore Fishbowl,Baltimore,America/New_York,US,en,maryland,,
baltimorebanner,https://www.thebaltimorebanner.com/,Baltimore Banner,Baltimore,America/New_York,US,en,maryland,,
baltimorebrew,https://www.baltimorebrew.com/,Baltimore Brew,Baltimore,America/New_York,US,en,maryland,,
baltimoremag,https://www.baltimoremagazine.com/,Baltimore Magazine,Baltimore,America/New_York,US,en,maryland,15000,
baltimoresun,https://www.baltimoresun.com/,The Baltimore Sun,Baltimore,America/New_York,US,en,maryland,,
bangordailynews,https://www.bangordailynews.com/,Bangor Daily News,Bangor,America/New_York,US,en,maine,,
bariweiss,https://www.commonsense.news/,Common Sense,Los Angeles,America/Los_Angeles,US,en,us-right-wing,,
barnpat,https://www.barnstablepatriot.com/,The Barnstable Patriot,Barnstable,America/New_York,US,en,massachusetts|gannett,,
bartlesvilleee,https://www.examiner-enterprise.com/,Examiner-Enterprise,Bartlesville,America/Chicago,US,en,oklahoma|gannett,,
baruchticker,https://theticker.org/,Ticker,New York City,America/New_York,US,en,new-york-city|student,,
