handle,performance_count,performance_median,performance_mean,performance_min,performance_max,performance_std,accessibility_count,accessibility_median,accessibility_mean,accessibility_min,accessibility_max,accessibility_std,seo_count,seo_median,seo_mean,seo_min,seo_max,seo_std,best_practices_count,best_practices_median,best_practices_mean,best_practices_min,best_practices_max,best_practices_std,performance_color,accessibility_color,seo_color,best_practices_color,performance_rank,accessibility_rank,seo_rank,best_practices_rank
mtshastanews,13,0.8200000000000001,0.7269230769230769,0.47,0.85,0.1659008044678413,13,0.87,0.86,0.78,0.87,0.024494897427831782,13,0.92,0.9146153846153846,0.85,0.92,0.01941450686788303,13,0.8300000000000001,0.8300000000000001,0.83,0.8300000000000001,4.5324665183683945e-17,orange,orange,green,orange,218.0,413.0,233.0,298.0
mwtnews,14,0.16,0.16214285714285714,0.16,0.18,0.005789342235218393,14,0.6000000000000001,0.602857142857143,0.59,0.65,0.013827826698682301,14,0.85,0.8485714285714285,0.84,0.85,0.003631365196012788,14,0.67,0.67,0.67,0.67,0.0,red,orange,orange,orange,923.0,1077.0,724.0,979.0
mydelmarvanow,13,0.8300000000000001,0.8023076923076923,0.46,0.84,0.10329196856111694,13,0.87,0.8692307692307693,0.86,0.88,0.007595545253127538,13,0.92,0.92,0.92,0.92,0.0,13,0.8300000000000001,0.8300000000000001,0.83,0.8300000000000001,4.5324665183683945e-17,orange,orange,green,orange,168.0,413.0,233.0,298.0
nagarik_news,13,0.14,0.14692307692307693,0.13,0.17,0.011821319289469756,13,0.55,0.55,0.55,0.55,0.0,13,0.84,0.84,0.84,0.84,0.0,13,0.75,0.75,0.75,0.75,0.0,red,orange,orange,orange,979.0,1092.0,781.0,786.0
nationaljournal,13,0.61,0.6123076923076923,0.47,0.83,0.08247765820247388,13,0.8,0.8,0.8,0.8,0.0,13,0.9,0.9000000000000001,0.9,0.9,0.0,13,1.0,0.9938461538461538,0.92,1.0,0.022188007849009157,orange,orange,green,green,309.0,814.0,588.0,1.0
nationalpost,13,0.2,0.2053846153846154,0.16,0.25,0.023669736167866558,13,1.0,0.9953846153846153,0.98,1.0,0.00877058019307029,13,0.91,0.91,0.91,0.91,0.0,13,0.8300000000000001,0.8300000000000001,0.83,0.8300000000000001,4.5324665183683945e-17,red,green,green,orange,813.0,1.0,487.0,298.0
nbcbayarea,13,0.44,0.4115384615384615,0.25,0.46,0.07045638767423834,13,0.8300000000000001,0.8300000000000001,0.83,0.8300000000000001,4.5324665183683945e-17,13,0.77,0.7653846153846153,0.76,0.77,0.005188745216627739,13,0.92,0.9000000000000001,0.75,0.92,0.05147815070493499,red,orange,orange,green,429.0,716.0,989.0,126.0
nbcchicago,20,0.405,0.3795,0.25,0.46,0.07776313563095238,20,0.8300000000000001,0.8295,0.8200000000000001,0.8300000000000001,0.0022360679774997855,20,0.77,0.77,0.77,0.77,0.0,20,0.92,0.9200000000000002,0.92,0.92,0.0,red,orange,orange,green,475.0,716.0,989.0,126.0
ndn,13,0.47,0.5584615384615385,0.37,0.84,0.19437275845850735,13,0.88,0.8753846153846154,0.81,0.89,0.02066211695163583,13,0.93,0.9246153846153847,0.86,0.93,0.019414506867883038,13,0.8300000000000001,0.836923076923077,0.83,0.92,0.024961508830135308,red,orange,green,orange,399.0,324.0,149.0,298.0
newrepublic,20,0.255,0.2615,0.12,0.39,0.10752111175803665,20,0.87,0.8699999999999999,0.87,0.87,0.0,20,0.74,0.752,0.74,0.8200000000000001,0.029307803882601877,20,0.92,0.9200000000000002,0.92,0.92,0.0,red,orange,orange,green,681.0,413.0,1067.0,126.0
newscientist,20,0.42,0.40499999999999997,0.28,0.54,0.07111887749987415,20,0.89,0.8870000000000001,0.88,0.89,0.004701623459816259,20,0.93,0.93,0.93,0.93,0.0,20,0.8300000000000001,0.8300000000000001,0.83,0.8300000000000001,4.411578959023922e-17,red,orange,green,orange,455.0,291.0,149.0,298.0
