identifier,handle,file_name,url,title,date,publicdate,addeddate
lajornada-2022,LaJornada,lajornada-2022.json,https://archive.org/details/lajornada-2022,La Jornada homepages in 2022,2022,2022-04-15 20:40:39,2022-04-15 20:40:39
latimes-2022,latimes,latimes-2022.json,https://archive.org/details/latimes-2022,Los Angeles Times homepages in 2022,2022,2022-03-22 20:29:38,2022-03-22 20:29:38
le_figaro-2022,Le_Figaro,le_figaro-2022.json,https://archive.org/details/le_figaro-2022,Le Figaro homepages in 2022,2022,2022-04-09 13:41:47,2022-04-09 13:41:47
le_parisien-2022,le_Parisien,le_parisien-2022.json,https://archive.org/details/le_parisien-2022,Le Parisien homepages in 2022,2022,2022-04-09 13:42:51,2022-04-09 13:42:51
leadertelegram-2022,leadertelegram,leadertelegram-2022.json,https://archive.org/details/leadertelegram-2022,Eau Claire Leader-Telegram homepages in 2022,2022,2022-03-23 23:07:05,2022-03-23 23:07:05
lehuffpost-2022,LeHuffPost,lehuffpost-2022.json,https://archive.org/details/lehuffpost-2022,Le Huffington Post homepages in 2022,2022,2022-04-09 13:43:32,2022-04-09 13:43:32
lemonde_en-2022,LeMonde_EN,lemonde_en-2022.json,https://archive.org/details/lemonde_en-2022,Le Monde in English homepages in 2022,2022,2022-04-09 13:40:13,2022-04-09 13:40:13
lemondefr-2022,lemondefr,lemondefr-2022.json,https://archive.org/details/lemondefr-2022,Le Monde homepages in 2022,2022,2022-04-09 13:41:01,2022-04-09 13:41:01
libe-2022,libe,libe-2022.json,https://archive.org/details/libe-2022,Libération homepages in 2022,2022,2022-04-09 13:43:11,2022-04-09 13:43:11
marylandmatters-2022,marylandmatters,marylandmatters-2022.json,https://archive.org/details/marylandmatters-2022,Maryland Matters homepages in 2022,2022,2022-03-31 13:13:28,2022-03-31 13:13:28
meduzaproject-2022,meduzaproject,meduzaproject-2022.json,https://archive.org/details/meduzaproject-2022,Meduza homepages in 2022,2022,2022-03-23 02:09:21,2022-03-23 02:09:21
mercnews-2022,mercnews,mercnews-2022.json,https://archive.org/details/mercnews-2022,Mercury News homepages in 2022,2022,2022-03-23 02:09:12,2022-03-23 02:09:12
minnpost-2022,MinnPost,minnpost-2022.json,https://archive.org/details/minnpost-2022,MinnPost homepages in 2022,2022,2022-04-01 22:43:20,2022-04-01 22:43:20
msnbc-2022,msnbc,msnbc-2022.json,https://archive.org/details/msnbc-2022,MSNBC homepages in 2022,2022,2022-03-23 01:46:13,2022-03-23 01:46:13
mydesert-2022,MyDesert,mydesert-2022.json,https://archive.org/details/mydesert-2022,The Desert Sun homepages in 2022,2022,2022-03-23 02:08:56,2022-03-23 02:08:56
nbcnews-2022,NBCNews,nbcnews-2022.json,https://archive.org/details/nbcnews-2022,NBC News homepages in 2022,2022,2022-03-24 23:11:06,2022-03-24 23:11:06
nro-2022,NRO,nro-2022.json,https://archive.org/details/nro-2022,National Review homepages in 2022,2022,2022-03-25 18:26:53,2022-03-25 18:26:53
nytimes-2022,nytimes,nytimes-2022.json,https://archive.org/details/nytimes-2022,New York Times homepages in 2022,2022,2022-03-23 00:46:07,2022-03-23 00:46:07
oaklandside-2022,Oaklandside,oaklandside-2022.json,https://archive.org/details/oaklandside-2022,The Oaklandside homepages in 2022,2022,2022-03-23 02:09:27,2022-03-23 02:09:27
oann-2022,OANN,oann-2022.json,https://archive.org/details/oann-2022,One America News Network homepages in 2022,2022,2022-03-25 18:47:20,2022-03-25 18:47:20
ocregister-2022,ocregister,ocregister-2022.json,https://archive.org/details/ocregister-2022,Orange County Register homepages in 2022,2022,2022-03-23 02:09:14,2022-03-23 02:09:14
pajaropolitico-2022,Pajaropolitico,pajaropolitico-2022.json,https://archive.org/details/pajaropolitico-2022,Animal Político homepages in 2022,2022,2022-04-15 20:41:09,2022-04-15 20:41:09
pioneerpress-2022,PioneerPress,pioneerpress-2022.json,https://archive.org/details/pioneerpress-2022,Twin Cities Pioneer Press homepages in 2022,2022,2022-04-01 22:43:00,2022-04-01 22:43:00
postcrescent-2022,PostCrescent,postcrescent-2022.json,https://archive.org/details/postcrescent-2022,Appleton Post Crescent homepages in 2022,2022,2022-03-23 23:07:18,2022-03-23 23:07:18
