handle,datetime,screenshot_url,hyperlinks_url,accessibility_url,lighthouse_url,wayback_url
tucsonstar,2022-10-18 15:18:39.606806+00:00,https://archive.org/download/tucsonstar-2022/tucsonstar-2022-10-18T08:18:39.606806-07:00.jpg,https://archive.org/download/tucsonstar-2022/tucsonstar-2022-10-18T08:18:39.606806-07:00.hyperlinks.json,https://archive.org/download/tucsonstar-2022/tucsonstar-2022-10-18T08:18:39.606806-07:00.accessibility.json,https://archive.org/download/tucsonstar-2022/tucsonstar-2022-10-18T08:18:39.606806-07:00.lighthouse.json,https://archive.org/download/tucsonstar-2022/tucsonstar-2022-10-18T08:18:39.606806-07:00.wayback.json
tuscaloosanews,2022-10-18 07:18:17.574880+00:00,https://archive.org/download/tuscaloosanews-2022/tuscaloosanews-2022-10-18T02:18:17.574880-05:00.jpg,https://archive.org/download/tuscaloosanews-2022/tuscaloosanews-2022-10-18T02:18:17.574880-05:00.hyperlinks.json,https://archive.org/download/tuscaloosanews-2022/tuscaloosanews-2022-10-18T02:18:17.574880-05:00.accessibility.json,https://archive.org/download/tuscaloosanews-2022/tuscaloosanews-2022-10-18T02:18:17.574880-05:00.lighthouse.json,https://archive.org/download/tuscaloosanews-2022/tuscaloosanews-2022-10-18T02:18:17.574880-05:00.wayback.json
tw_nextmedia,2022-10-18 15:18:13.724732+00:00,https://archive.org/download/tw_nextmedia-2022/tw_nextmedia-2022-10-18T23:18:13.724732+08:00.jpg,https://archive.org/download/tw_nextmedia-2022/tw_nextmedia-2022-10-18T23:18:13.724732+08:00.hyperlinks.json,https://archive.org/download/tw_nextmedia-2022/tw_nextmedia-2022-10-18T23:18:13.724732+08:00.accessibility.json,https://archive.org/download/tw_nextmedia-2022/tw_nextmedia-2022-10-18T23:18:13.724732+08:00.lighthouse.json,https://archive.org/download/tw_nextmedia-2022/tw_nextmedia-2022-10-18T23:18:13.724732+08:00.wayback.json
tylerpaper,2022-10-18 15:17:21.883308+00:00,https://archive.org/download/tylerpaper-2022/tylerpaper-2022-10-18T10:17:21.883308-05:00.jpg,https://archive.org/download/tylerpaper-2022/tylerpaper-2022-10-18T10:17:21.883308-05:00.hyperlinks.json,https://archive.org/download/tylerpaper-2022/tylerpaper-2022-10-18T10:17:21.883308-05:00.accessibility.json,https://archive.org/download/tylerpaper-2022/tylerpaper-2022-10-18T10:17:21.883308-05:00.lighthouse.json,https://archive.org/download/tylerpaper-2022/tylerpaper-2022-10-18T10:17:21.883308-05:00.wayback.json
udn,2022-10-18 07:18:10.194393+00:00,https://archive.org/download/udn-2022/udn-2022-10-18T15:18:10.194393+08:00.jpg,https://archive.org/download/udn-2022/udn-2022-10-18T15:18:10.194393+08:00.hyperlinks.json,https://archive.org/download/udn-2022/udn-2022-10-18T15:18:10.194393+08:00.accessibility.json,https://archive.org/download/udn-2022/udn-2022-10-18T15:18:10.194393+08:00.lighthouse.json,https://archive.org/download/udn-2022/udn-2022-10-18T15:18:10.194393+08:00.wayback.json
uhmallorca,2022-10-18 15:17:22.634631+00:00,https://archive.org/download/uhmallorca-2022/uhmallorca-2022-10-18T17:17:22.634631+02:00.jpg,https://archive.org/download/uhmallorca-2022/uhmallorca-2022-10-18T17:17:22.634631+02:00.hyperlinks.json,https://archive.org/download/uhmallorca-2022/uhmallorca-2022-10-18T17:17:22.634631+02:00.accessibility.json,https://archive.org/download/uhmallorca-2022/uhmallorca-2022-10-18T17:17:22.634631+02:00.lighthouse.json,https://archive.org/download/uhmallorca-2022/uhmallorca-2022-10-18T17:17:22.634631+02:00.wayback.json
ujyaalo,2022-10-18 15:17:27.466739+00:00,https://archive.org/download/ujyaalo-2022/ujyaalo-2022-10-18T21:02:27.466739+05:45.jpg,https://archive.org/download/ujyaalo-2022/ujyaalo-2022-10-18T21:02:27.466739+05:45.hyperlinks.json,https://archive.org/download/ujyaalo-2022/ujyaalo-2022-10-18T21:02:27.466739+05:45.accessibility.json,https://archive.org/download/ujyaalo-2022/ujyaalo-2022-10-18T21:02:27.466739+05:45.lighthouse.json,https://archive.org/download/ujyaalo-2022/ujyaalo-2022-10-18T21:02:27.466739+05:45.wayback.json
ukrinform,2022-10-18 07:18:22.072836+00:00,https://archive.org/download/ukrinform-2022/ukrinform-2022-10-18T10:18:22.072836+03:00.jpg,https://archive.org/download/ukrinform-2022/ukrinform-2022-10-18T10:18:22.072836+03:00.hyperlinks.json,https://archive.org/download/ukrinform-2022/ukrinform-2022-10-18T10:18:22.072836+03:00.accessibility.json,https://archive.org/download/ukrinform-2022/ukrinform-2022-10-18T10:18:22.072836+03:00.lighthouse.json,https://archive.org/download/ukrinform-2022/ukrinform-2022-10-18T10:18:22.072836+03:00.wayback.json
umd_sbs,2022-10-18 15:18:15.037254+00:00,https://archive.org/download/umd_sbs-2022/umd_sbs-2022-10-18T11:18:15.037254-04:00.jpg,https://archive.org/download/umd_sbs-2022/umd_sbs-2022-10-18T11:18:15.037254-04:00.hyperlinks.json,https://archive.org/download/umd_sbs-2022/umd_sbs-2022-10-18T11:18:15.037254-04:00.accessibility.json,https://archive.org/download/umd_sbs-2022/umd_sbs-2022-10-18T11:18:15.037254-04:00.lighthouse.json,https://archive.org/download/umd_sbs-2022/umd_sbs-2022-10-18T11:18:15.037254-04:00.wayback.json
unherd,2022-10-18 09:23:58.992930+00:00,https://archive.org/download/unherd-2022/unherd-2022-10-18T10:23:58.992930+01:00.jpg,https://archive.org/download/unherd-2022/unherd-2022-10-18T10:23:58.992930+01:00.hyperlinks.json,https://archive.org/download/unherd-2022/unherd-2022-10-18T10:23:58.992930+01:00.accessibility.json,https://archive.org/download/unherd-2022/unherd-2022-10-18T10:23:58.992930+01:00.lighthouse.json,https://archive.org/download/unherd-2022/unherd-2022-10-18T10:23:58.992930+01:00.wayback.json
