text,url,earliest_date,is_story,domain
Ukraine discovers 'torture rooms' in recaptured Kharkiv region...,https://english.alarabiya.net/News/world/2022/09/16/Ukraine-discovers-torture-rooms-in-recaptured-Kharkiv-region-,2022-09-16,True,alarabiya.net
Pope warns against using religion for political power...,https://english.alarabiya.net/News/world/2022/09/14/Pope-says-religion-should-not-be-used-a-prop-for-power,2022-09-14,True,alarabiya.net
China Plans More Moon Missions to Rival NASA After Finding New Lunar Mineral...,https://english.alarabiya.net/News/world/2022/09/10/China-plans-more-moon-missions-after-finding-new-lunar-mineral,2022-09-10,True,alarabiya.net
TENSE: Erdogan warns Greece will pay 'heavy price' if harasses Turkish jets...,https://english.alarabiya.net/News/middle-east/2022/09/03/Erdogan-warns-Greece-it-will-pay-heavy-price-over-Aegean-airspace-violations,2022-09-03,True,alarabiya.net
Germany expanding military presence in Indo-Pacific...,https://english.alarabiya.net/News/world/2022/08/31/Germany-says-it-will-expand-military-presence-in-Indo-Pacific-as-China-threat-looms,2022-08-31,True,alarabiya.net
FALL PREVIEW: LIMBAUGH BOOK SET FOR BLOCKBUSTER SALES...,https://www.amazon.com/Radios-Greatest-Time-Rush-Limbaugh/dp/1668001845/,2022-09-15,True,amazon.com
"In new interview, Francis says becoming pope made him less rigid, more merciful...",https://www.americamagazine.org/faith/2022/07/01/pope-francis-telam-interview-243290,2022-07-01,True,americamagazine.org
ANN COULTER,http://www.anncoulter.com,2022-07-01,False,anncoulter.com
POPE: MADNESS...,https://www.ansa.it/english/news/2022/09/21/madness-to-think-of-using-nukes-says-pope_9f7dfdec-6827-4232-9906-97f11066453d.html,2022-09-21,True,ansa.it
Monarchy may have to change to survive...,https://www.aol.com/news/king-charles-now-rules-monarchy-001434746.html,2022-09-10,True,aol.com
"Echoing Trump, Brazil president prepares for election loss by declaring vote rigged...",https://www.aol.com/news/echoing-trump-brazils-president-prepares-100046275.html,2022-09-09,True,aol.com
Inside L.A.'s deadly street takeover: 'Scene of lawlessness'...,https://www.aol.com/news/inside-l-deadly-street-takeover-120002602.html,2022-08-22,True,aol.com
NOAA finds weird lines of holes in Mid-Atlantic floor... 'They look almost human made'...,https://www.aol.com/news/look-almost-human-made-noaa-112729317.html,2022-07-26,True,aol.com
LA just banned cars from major road. Revolution?,https://www.aol.com/news/l-just-banned-cars-major-120009011.html,2022-07-08,True,aol.com
Hospital admissions among elderly rise...,https://www.aol.com/covid-19-hospital-admissions-among-142913317.html,2022-07-01,True,aol.com
AMAZON in the bedroom: Bedside device tracks...,https://apnews.com/article/technology-33faae2f9861980e45dbf5d5e6319493,2022-09-28,True,apnews.com
MAX WINDS 155 MPH,https://apnews.com/article/hurricane-ian-live-updates-6302894797cae989ff855030cf332a97,2022-09-28,True,apnews.com
Schwarzenegger visits Auschwitz in message against hatred...,https://apnews.com/article/russia-ukraine-philanthropy-world-war-ii-8ac42e886347c640ed1aae2952f757b2,2022-09-28,True,apnews.com
Arizona clinics send women to other states...,https://apnews.com/article/abortion-health-arizona-legislature-planned-parenthood-7f62876552a1be435da5dc5e52014a21,2022-09-27,True,apnews.com
DOW BEAR...,https://apnews.com/article/inflation-japan-asia-financial-markets-6eabd6b0fd5c301b916f731f04b0d951,2022-09-27,True,apnews.com
Lula supporter stabbed to death...,https://apnews.com/article/jair-bolsonaro-violence-caribbean-elections-presidential-fd03fa062043edec3f8cd1f7e9cae3a2,2022-09-27,True,apnews.com
Prototype electric airplane takes first flight...,https://apnews.com/article/technology-washington-federal-aviation-administration-moses-lake-28caa36ca5f27673dc0210566e4e75e6,2022-09-27,True,apnews.com
Shakira to face trial for tax fraud in Spain...,https://apnews.com/article/entertainment-soccer-sports-music-dd142f60f434cbdb8d6d4feb8e0f7292,2022-09-27,True,apnews.com
